filename	transcription
wavs_11	3 อะไร มาย บอลลี่ แอนด์ โซล การจัดระเบียบของร่างกายหรือจิตใจเพื่อให้ตั้งมั่นกับพันธกิจ หมายถึงองค์ประกอบหลักคือร่างกายจิตใจและจิตวิญญาณอาจเป็นไปได้ว่าตอนนี้คุณสามารถรวมองค์ประกอบหลักทั้งสามของความมีชีวิตของความเป็นมนุษย์ให้เป็นหนึ่งเดียวกันได้แล้วหรืออีกนัยหนึ่งเป็นการบอกถึงเส้นทางที่คุณเดินนั้นคุณกำลังเข้าสู่เส้นทางแห่งจิตวิญญาณโดยแท้จริงและระหว่างทางคุณได้รับการชี้แนะจากจิตวิญญาณเบื้องสูงที่เฝ้ามองคุณอยู่ตลอดเวลาเพื่อให้คุณมั่นใจว่าคาติแบบธรรมดากลับเข้าสู่ความเป็นธรรมชาติแบบธรรมดากลับเข้าสู่ความเป็นธรรมชาติแบบธรรมดา
wavs_12	เป็นฐานที่มั่นให้กับ แรพไทด์นอกโลกซึ่งใช้ชีวิตอยู่บนยานแม่เหมือนชนเผ่าเร่ร่อน ดอกจันทร์ แรพไทด์ตกลงให้ไกร์อาร์เป็นเมืองขึ้นหรืออาณานิคมของแพลนเน็ตเอ็กซ์แอนานูคี โดยมีการส่งแร่ธาตุ เช่น ทองคำกับโลหะที่จำเป็นในการก่อสร้างให้กับแพลนเน็ตเอที่ต้องการ แต่ชาวแอนนูนาคีต้องไม่แทรกแซงการเมืองการปกครองของแรพไทด์กับมนุษย์ ดอกจัน การเข้ายึดครองโรงเรียนไกรอาของแรพไทด์เพื่อป้องกันไม่ให้ทางสมาพันธ์แสงสว่างผิดสังเกตมากเกินไปและเข้ามาถล่มอีกรอบงานนี้พวกเขาเล่นแบบเนียนเนียนกว่าที่เคยเป็นการควบคุมที่ง่ายที่สุดคือดึงมนุษย์ไว้กับมิติที่สามมิติทางจิตสำนึกที่ต่ำที่สุดงานตรงนี้นักชีวะ
wavs_13	ในช่วงแรกหลังน้ำท่วมใหญ่ ชาวแอนนูนาคี ดิแอนนูนาคี ออฟนิบิรุ เป็นพันธมิตรที่ดีของแรพไทย ตอนหลังเริ่มจะไม่ไหวกับความแสบสั่นของพวกคุณเธอ พี่แอนนูนาคีของเราก็เลยบ๊ายบายย้ายข้าง เนื่องจากชาวแอนนูนาคีเกิดความแปลกแยกกันเอง ถงกับสู้รบกันภายในจากการเป็นพันธมิตรครั้งนี้ ในที่สุดแอนนูนาคีก็ยุติบทบาทความเป็นแนวร่วมและย้ายข้างแบบถาวรและส่งพรรคพวกฝ่ายแสงของตนเองลงพื้นที่ดัดหลังแรพไทยซะเลย ดูเพิ่มเติมในตำนานเทพเจ้าของอียิปต์ และมีสตาซิสต์จำนวนไม่น้อยที่เป็นชาวแอนนูนาคีมาเพื่องานยกระดับจิตในครั้งนี้ เหตุการณ์เช่นนี้ดำเนินไปกับเผ่าพันธุ์มนุษย์มาหลายพันปี โดยที่มนุษย์ไม่ใช่แก่พระราชดำรงสมบัติ
wavs_14	หน้า หนึ่งร้อยแปดสิบสอง ตอนที่สอง โรงเรียนลึกลับโบราณคืออะไร อยู่ที่ไหน สอนวิชาอะไร หน้า หนึ่งร้อยแปดสิบสี่ ตอนที่สาม ทอดส์ทำความรู้จักบิดาแห่งสภาวิชา หน้า หนึ่งร้อยแปดสิบแปด ตอนที่สี่ กดจักรวาลข้อที่หนึ่ง หน้า หนึ่งร้้อย แปด สิบ แปด ตอน ที่ สี่ กด จักรวาล ข้อ ที่ หนึ่ง หน้า หนึ่งร้อย เก้า สิบ สอง ตอน ที่ ห้า กด จักรวาล ข้อ ที่ สอง หน้า หนึ่งร้อย เก้า สิบ หก ตอน ที่ หก กด จักรวาล ข้อ ที่ สาม หน้า สอง ร้อย สอง ตอน ที่ เจ็ด กด จักรวาล ข้อ ที่ สี่ หน้าสองร้อยสอง ตอนที่เจ็ด กดจักรวาลข้อที่สี่ หน้าสองร้อยเจ็ด ตอนที่แปด กดจักรวาลข้อที่ห้า หน้าสองร้อยสิบ ตอนที่เก้า กดจักรวาล
wavs_15	ความรักในตัวเองเร็วขึ้น พร้อมทั้งคอยกระตุ้นให้คุณส่งต่อแสงสว่างนั้นไปยังผู้คนรอบตัว ที่เกิดขึ้นจากความรักภายในหมายถึงความรักตัวเองได้อย่างเต็มที่ พร้อมกับกระจายออกไปสู่ผู้คนรอบข้าง 1313 หมายถึงการมองโลกในแง่ดีความคิดเริ่มสร้างสรรค์กำลังได้รับการพัฒนาและรวมถึงความกระตือรือร้นของคุณกำลังขยายตัวอีกด้วยเป็นสัญลักษณ์ของเหล่าผู้พิทักษ์ที่บอกคุณว่าพวกเขากำลังช่วยคุณให้ได้รับมุมมองในเชิงบวกช่วยคุณให้สามารถเดินตามเส้นทางที่คุณเลือกไปได้ด้วยความมั่นใจและสง่างาม คุรุได้ทำงานร่วมกับคุณทั้งกระบวนการคิดที่ทำให้คุณสามารถตัดสินใจได้อย่างชาญฉลาด
wavs_16	ภายนอกและเข้าสู่จักรวาลในที่สุดแต่ท้ายสุดก็สะท้อนกลับมายังต้นกำเนิดเหมือนกับการแกว่งของลูกตุ้มละละละ และเป็นการชี้ให้เห็นว่าการขับเคลื่อนเอกภพนั้นเป็นไปตามเหตุและผลพวงแห่งพลังมวลรวม คำแนะนำของการใช้กฎของเหตุและผลนี้คือสติ ขอให้เราศึกษาให้ชัดเจนถึงวิธีการทำงานของธรรมชาติ หรือพลังงานต้นกำเนิด หรือพระเจ้า ซึ่งก็แล้วแต่สมมุติบัญญัติที่พวกเราคุ้นชิน ในทุกๆเหตุธรรมชาติจะกำหนดผลลัพธ์ที่สอดคล้องกัน เป็นไปเพื่อประโยชน์่อตนเองและสังคมโดยรวมของมนุษยชาติ เราควรใช้เจตจำนงอิสระอย่างฉลาดในการเลือกคิด พูด และทำสิ่งที่ก่อประโยชน์ด้วยความเข้าใจและตระหนักรู้
wavs_17	และจัดการแก้ไขได้อย่างรวดเร็ว หน้า 136 22 ดอกจันทร์ 22 ความหมายตรงตัวของเลขมาสเตอร์เลขนี้คือความชัดเจนแม่นยำ สมดุล ความหมายอีกด้านหนึ่งคือตัวเลขให้พลังกับสิ่งที่แทบจะเป็นไปไม่ได้ ให้สามารถเกิดขึ้นได้จริงผู้ถือรหัสหมายเลขสองสองคือคนที่มีความทะเยอทะยานมีความมั่นใจลงมือทำและปฏิบัติได้จริงในสิ่งที่พวกเขาเชื่อมั่นเป็นสัญลักษณ์ของการทำเรื่องต่างต่างให้เป็นเรื่องง่ายเป็นเครื่องหมายของความซื่อสัตย์และความรับผิดชอบเมื่อตัวเลขนี้ปรากฏขึ้นกับผู้ใดคุณต้องเรียนรู้ว่าสิ่งที่พวกคุณต้องทำอย่างยิ่งก็คือให้ความสำคัญกับความคิดคุณต้องเลือกที่จะเดินทางอย่างระมัดระวังกับชีวิตของพวกคุณเพราะทุกอย่างมีสองข้อ
wavs_18	คอนิกซิตี้ วิดเดอร์ยูนิเวิร์ส การเชื่อมโยงของคุณกำลังเข้าสู่เป้าหมายของการเกิด นำคุณสู่การเติบโตทางจิตวิญญาณเต็มรูปแบบ เมื่อคุณเข้าใจแล้วว่าจริงๆคุณเป็นใคร คุณมาอยู่บนโลกนี้เพื่ออะไร ทำให้คุณได้เปลี่ยนความหมายของการมีชีวิตอยู่บนโลก เพื่อนำความรัก พาแสงสว่าง ซึ่นสิ่งที่โลกต้องการจริงจริงจากคุณเมื่อตัวเลขนี้ปรากฏขึ้นให้คุณใส่ใจว่าคุณไม่มีความจำเป็นต้องปิดบังตัวตนของคุณอีกต่อไปเผยความเป็นแสงสว่างในแบบของคุณไม่จำเป็นต้องซ่อนเร้นอีกนี่คือเวลาที่คุณต้องแสดงออกถึงความเป็นคุณโดยไม่ต้องปิดบังตัวเองในเงามืดเหมือนเช่นที่ผ่านมา ขอให้จำเอาไว้ว่าการเป็นแสงสว่างในแบบของคุณคือส่วนหนึ่งของการเดินทางของจิตวิญญาณ
wavs_19	โลกภายนอกก็จะเปลี่ยนตาม mindset to action เท่ากับ reaction กฎข้อนี้เปิดเผยเรื่องที่เราไม่รู้ให้เราได้รับรู้ความเกี่ยวโยงของสามแดนมหัศจรรย์ทั้งสามส่วนคือโลกแห่งจินตนาการหรือโลกแห่งความคิด โลกทางกายวิภาคและโลกแห่งจิตวิญญาณความคิดได้ส่งข้อมูลความเชื่อบันทึกไว้ในจิตใต้สำนึกที่มีความคิด โลกทางกายวิภาคและโลกแห่งจิตวิญญาณความคิดได้ส่งข้อมูลความเชื่อบันทึกไว้ในจิตใต้สำนึกที่ทำให้ภาพที่เราคิดสะท้อนออกมาเป็นอารมณ์แปลงพลังงานที่ส่งออกมาจากตัวเราเป็นทัศนคติ และการแสดงออกกับการรับมือต่อสถานการณ์รวมทั้งมีผลต่อความสัมพันธ์กับผู้คนรอบข้างอีกด้วยซึ่งหมายถึงเหตุการณ์ในชีวิตของเราที่เรากำลังเผชิญอยู่เราเป็นคนออกแบบออกมาจากโลกแห่งความคิดหรือวาดภาพจากจินตนาการก่อนและส่งผลลัพธ์กับ
wavs_20	ปกหลังเป็นปกแข็งสีน้ำเงินเข้มเป็นรูปจักรวาล ด้านล่างสุดเป็นบาร์โค้ดราคาสามร้อยหกสิบบาท
wavs_21	ความเข้มแข็งภายในของคุณนั่นก็คือคุณต้องสร้างศรัทธาที่ยิ่งใหญ่ในวิถีแห่งจิตวิญญาณด้วยตัวคุณเองเพราะคุณคือคนที่กำหนดชีวิตตัวเองสร้างความเป็นจริงในชีวิตตัวเองให้เป็นไปในแบบที่คุณต้องการขอให้พวกคุณมีความศรัทธาที่ตั้งมั่นและใจที่เป็นกลางเพียงเท่านี้การทดสอบจากสิ่งที่คุณต้องการคขอให้พวกคุณมีความสัมพันธ์ที่ตั้งมั่นและใจที่เป็นกลาง เพียงเท่านี้ การทดสอบจากสิ่งยั่วยุก็จะไม่ใช่ปัญหาของคุณอีกต่อไป หน้า 163 17 17 1177 เช่นเคยนะคะ ขอข้ามความหมายของหมายเลขหนึ่งไปก่อน เพราะได้โพสต์ไว้หลายตแล้วความหมายของเลขเจ็ดในศาสตร์ของตัวเลขเพื่อการสื่อสารจากมิติเบื้องสูงคือเจ็ดเป็นพลังของการสั่นสะเทือนของจิตสำนึกมวลรวมที่มีการตื่นตัวทางจิตวิญญาณเพื่อการ
wavs_22	หรือผู้ล้างผลาญทุกพลังงานทุกดวงจิตนั้นล้วนมาสร้างความแตกต่างเพิ่มการเรียนรู้ เติมเต็มบางส่วนให้กับอีกฝ่ายเพื่อการหมุนวัตจักรแห่งชีวิตถ้าคนฟอกจิตยังไม่สามารถเคารพและนอบน้อมให้เกียรติกับทุกดวงจิตเหล่านั้นได้เท่ากันแล้ว ไซส์ลองวิเคราะห์ตัวเองทีว่ากำลังโดนมารยาเล่นด้วยอยู่หรือเปล่า ขอให้คนฟอกจิตสนุกกับการสังเกตนะคะ
wavs_23	ผู้มีสัญลักษณ์ของเลขหกมีความเหมือนในพลังของแม่ที่รักและห่วงใย มีการใส่ใจดูแลและเสียสละ ปกป้องและอบรมสั่งสอนเป็นพลังของมวลชนซึ่งให้อยู่ด้วยกันอย่างเข้าอกเข้าใจและปลอดภัย และเต็มไปด้วยความสมัครสมานสามัคคีเลขหกทำหน้าที่เป็นาวประสานให้กับครอบครัวและชุมชนถึงการสร้างสภาวะแวดล้อมสันติภาพความสมัครสมานสามัคคีเพื่อเป็นแรงกระตุ้นที่แข็งแกร่งผู้อยู่ใต้อิทธิพลของหมายเลขหกมักจะเป็นพวกติดทองหลังพระผู้อยู่เบื้องหลังไม่ออกมาแถวหน้าในขณะเดียวกันแม้ว่าตนเองก็อาจจะถูกเหยียบย่ำเช่นเดียวกับพรมเช็ดเท้าเขาก็สามารถอยู่ได้โดยที่ไม่ได้เรียกร้องและเต็มใจ
wavs_24	เป็นเรื่องของสภาวะฮอร์โมนในตัวบุคคล แต่ในที่นี้จะขอกล่าวถึงพลังเพศชายที่เรียกว่าหยางมัสคลีล
wavs_25	ราฟดับเบิลยู เอ็มมอร์สอน กฎข้อนี้นำเสนอการเรียนรู้ที่สำคัญที่สุดอีกข้อหนึ่ง เป็นเรื่องเกี่ยวกับพฤติกรรมที่เกิดขึ้นในชีวิตประจำวันในทุกๆเหตุ มีผลที่ตามมาเสมอ พวกเราคุ้นเคยกับกฎข้อนี้ดี และรู้จักกันในนาม กฎแห่งกรรม ทุกความคิด ทุกคำพูด ทุกการกระทำ คือเหตุ ซึ่งเป็นการปล่อยคลื่นพลังงานออกไปสู่จักรวาลตามมาด้วยผลกระทบจากเหตุนั้นอาจจะเป็นเรื่องที่น่าพอใจหรือไม่พึงประสงค์ก็ตาม โดยอย่างเช่นเหตุที่เกิดจากความคิดคำพูดและการกระทำจากคนหนึ่งคนจะมีพลังที่มองไม่เห็นซึ่งเป็นการสั่นสะเทือนจากระนาบจิตทรงตรงถึงโครงสร้างของเซลล์และอนุภาคที่เล็กที่สุดในร่างกาย ออกสู่สภาวะแวดล้อม
wavs_26	ความเป็นธรรมชาติแบบธรรมดาหรือเข้าสู่ความเป็นธรรมชาติของจิตแท้จิตเดิมการรวมเป็นหนึ่งเดียวกับธรรมชาติ ความนอบน้อมอ่อนน้อมกับธรรมชาติรอบรอบตัวเป็นสัญลักษณ์ของการเรียกให้คุณกลับเข้าสู่ความเป็นตัวตนที่แท้จริงของคุณเองอีกครั้งอีกความหมายหนึ่งคือเป็นพลังงานหรือเพศหญิงคุณอาจจะเจอผู้หญิงที่ส่งอิทธิพลต่อชีวิตคุณอาจจะเป็นใครก็ได้เพื่อน พี่สาว น้องสาว คุณแม่หรือคนอื่นๆเพื่อนำพาคุณกลับเข้าสู่จิตเดิมแท้ the true authenticity หรือพลังแห่งเพศหญิงในตัวคุณมีการแสดงออกมามากขึ้น เช่น คุณมีความอ่อนโยนขึ้น มีความอ่อนน้อม คุณมีความนอบน้อมมากขึ้น time for feminine energy ในทางกลุ่มนี้
wavs_27	หน้า 40 หัวข้อ a Viral of Peirre-Diennes and Returning of Cirene-Aurelis เมื่อ Peirre-Diennes มาถึง พร้อมการหวนคืนพันธมิตร Cirene มีภาพประกอบเป็นภาพขาวดำ เป็นภาพยานอวกาศพุ่งเข้าหาดาวสุข การเตรียมพร้อมเพื่อปกป้องบ้านใหม่ของจิตวิญญาณที่ถูกส่งมาฟอกจิตเพื่อการยกระดับนั้นได้รับการร้องขอจากชาวมูซึ่งประชากรส่วนใหญ่มาจากระบบพระยาดิตมติของสมาพันธ์แสงสว่างคือให้เอาคืนเผ่าพันธ์มนุษย์และขับไล่ฝ่ายมืดพร้อมศาลต่องานยกระดับจิตงานจู่โจมเอาคืนพื้นที่ดาวสุขแบ่งงานออกเป็นสองกลุ่มหนึ่งสมาพันธ์ไซเรียนที่เชี่ยวชาญทางเทคโนโลยีการป้องกันได้ทำหน้าที่อพยพผู้คนไปสู่โดมป้องกัน
wavs_28	1 1 3 3 2 2 3 3 1 1 2 2 เป็นการสื่อสารจากทีมผู้พิทักษ์ของคุณเพื่อบอกกับคุณว่าถึงเวลาแล้วที่จะต้องมีสมาธิและในการค้นหาจุดประสงค์ของการมาอยู่บนโลกนี้อย่างจริงจังและเป็นจุดประสงค์หลักที่คนบางคนค้นหามาทั้งชีวิตช่วงงนี้ถึงเวลาของคุณแล้ว เหตุการณ์ต่างๆกำลังเปิดเผยตัวตนออกมา เมื่อตัวเลขนี้ปรากฏการสื่อสารจากผู้พิทักษ์กำลังบอกคุณว่า นี่คือโอกาสของการเริ่มต้นใหม่จากความผิดพลาดแบบเดิมๆ เป็นการเริ่มใหม่จากบทเรียนเดิมด้วยตัวคุณเองได้เวลาออกจากคอมฟอร์ดโซนและวางเรื่องราวเกี่ยวกับผู้คนรอบข้างที่คลื่นคนละความถี่กับคุณวางเรื่องราวระหว่างตัวคุณกับผู้อื่นเพื่อให้คุณได้รับความรู้สึกสุขในการทำงาน
wavs_29	สมาร์ทบอดี้ ภาษาเพื่อการสื่อสารกับกายพลังงาน สมาร์ทบอดี้ หน้าสองร้อยสี่สิบแปด เดอะพาซิเบิล วีเอสโนซิเบิล คืออะไร หน้าสองร้อยห้าสิบหก ความเชื่อส่วนตัวที่เอามาเล่าสู่กันฟัง หน้าสองร้อยหกสิบสอง ดิ อักขจิก เร็กคอร์ดบันทึกแห่งฟ้า หน้าสองร้อยหกสิบหก ด้านมืดของเรา หน้าสองร้อยเจ็ดสิบสอง ความช่วยเหลือเพื่อการอัปเกรดทางพลังงานแบบเก้าสิบองศาแนวดิ่งหรือวอชิโค อัพเกรดเด็ด หน้า 278 ไซคิกแวมไพร์ แวมไพร์ดูดพลัง หน้า 284 ออฟกัสซุปเปอร์มูน วันพระจันทร์เต็มดวง ของเดือน
